證券代碼,簡稱,年月日,開盤價,最高價,最低價,收盤價,成交量
0050   ,元大台灣50   ,20100104,   56.45,   56.65,   56.05,   56.50,    20083
0050   ,元大台灣50   ,20100105,   56.80,   56.90,   56.15,   56.50,    16453
0050   ,元大台灣50   ,20100106,   56.50,   57.75,   56.50,   57.55,    19012
0050   ,元大台灣50   ,20100107,   57.60,   58.15,   57.30,   57.40,    14110
0050   ,元大台灣50   ,20100108,   57.30,   57.75,   57.05,   57.75,    11342
0050   ,元大台灣50   ,20100111,   57.10,   58.05,   57.10,   57.90,    11581
0050   ,元大台灣50   ,20100112,   57.55,   57.85,   57.25,   57.60,     7306
0050   ,元大台灣50   ,20100113,   57.05,   57.15,   56.70,   56.75,    16686
0050   ,元大台灣50   ,20100114,   56.80,   57.60,   56.80,   57.45,     9978
0050   ,元大台灣50   ,20100115,   57.35,   57.95,   57.35,   57.80,     8425
0050   ,元大台灣50   ,20100118,   57.45,   57.70,   57.30,   57.50,     5019
0050   ,元大台灣50   ,20100119,   57.50,   57.70,   56.50,   56.75,     6724
0050   ,元大台灣50   ,20100120,   56.80,   56.95,   56.10,   56.40,    23397
0050   ,元大台灣50   ,20100121,   56.15,   56.40,   55.75,   55.95,    13862
0050   ,元大台灣50   ,20100122,   55.20,   55.20,   54.35,   54.40,    29477
0050   ,元大台灣50   ,20100125,   53.95,   54.45,   53.80,   54.20,    12845
0050   ,元大台灣50   ,20100126,   54.15,   54.55,   52.75,   52.95,    26395
0050   ,元大台灣50   ,20100127,   52.95,   53.30,   52.70,   52.90,    14855
0050   ,元大台灣50   ,20100128,   53.10,   54.20,   53.10,   54.05,    12622
0050   ,元大台灣50   ,20100129,   52.95,   53.25,   52.20,   53.00,    13799
0050   ,元大台灣50   ,20100201,   53.15,   53.20,   51.95,   52.40,    19637
0050   ,元大台灣50   ,20100202,   52.95,   52.95,   51.60,   51.85,    11987
0050   ,元大台灣50   ,20100203,   52.10,   52.80,   52.05,   52.75,    13598
0050   ,元大台灣50   ,20100204,   52.75,   52.85,   52.35,   52.55,     5940
0050   ,元大台灣50   ,20100205,   51.25,   51.30,   50.50,   50.75,    24216
0050   ,元大台灣50   ,20100206,   50.80,   51.30,   50.30,   51.20,    20632
0050   ,元大台灣50   ,20100208,   51.05,   51.20,   50.70,   50.85,    18165
0050   ,元大台灣50   ,20100209,   50.85,   51.65,   50.75,   51.55,    11269
0050   ,元大台灣50   ,20100210,   51.95,   52.25,   51.70,   52.10,    11276
0050   ,元大台灣50   ,20100222,   53.05,   53.15,   52.60,   52.60,    11224
0050   ,元大台灣50   ,20100223,   52.60,   52.75,   52.20,   52.60,     9598
