ÃÒ¨é¥N½X,Â²ºÙ,¦~¤ë¤é,¶}½L»ù,³Ì°ª»ù,³Ì§C»ù,¦¬½L»ù,¦¨¥æ¶q
1476   ,¾§ÂE         ,20100104,   21.55,   21.90,   21.50,   21.80,     6726
1476   ,¾§ÂE         ,20100105,   21.80,   21.80,   21.05,   21.20,     1634
1476   ,¾§ÂE         ,20100106,   21.20,   21.50,   21.15,   21.25,     1167
1476   ,¾§ÂE         ,20100107,   21.25,   21.45,   21.05,   21.10,      833
1476   ,¾§ÂE         ,20100108,   21.20,   21.20,   20.95,   21.15,      761
1476   ,¾§ÂE         ,20100111,   21.15,   21.40,   21.10,   21.10,      859
1476   ,¾§ÂE         ,20100112,   21.20,   21.25,   20.90,   20.90,      739
1476   ,¾§ÂE         ,20100113,   20.85,   20.95,   20.65,   20.75,      713
1476   ,¾§ÂE         ,20100114,   20.75,   20.90,   20.75,   20.85,      397
1476   ,¾§ÂE         ,20100115,   21.00,   21.50,   21.00,   21.40,     1877
1476   ,¾§ÂE         ,20100118,   21.40,   21.50,   21.25,   21.40,      834
1476   ,¾§ÂE         ,20100119,   21.30,   21.45,   21.15,   21.20,      752
1476   ,¾§ÂE         ,20100120,   21.20,   21.30,   20.90,   21.10,      469
1476   ,¾§ÂE         ,20100121,   21.00,   21.15,   20.60,   20.70,      713
1476   ,¾§ÂE         ,20100122,   20.40,   20.55,   20.25,   20.35,      753
1476   ,¾§ÂE         ,20100125,   20.00,   20.35,   20.00,   20.20,      410
1476   ,¾§ÂE         ,20100126,   20.30,   20.40,   19.60,   19.70,     1232
1476   ,¾§ÂE         ,20100127,   19.75,   20.00,   19.65,   19.70,      383
1476   ,¾§ÂE         ,20100128,   19.80,   20.30,   19.80,   20.20,      491
1476   ,¾§ÂE         ,20100129,   20.05,   20.10,   19.85,   19.95,      201
1476   ,¾§ÂE         ,20100201,   19.95,   20.05,   19.85,   19.95,       80
1476   ,¾§ÂE         ,20100202,   20.05,   20.20,   19.70,   19.80,      309
1476   ,¾§ÂE         ,20100203,   19.80,   20.00,   19.70,   19.90,      240
1476   ,¾§ÂE         ,20100204,   19.90,   20.00,   19.85,   19.90,      163
1476   ,¾§ÂE         ,20100205,   19.55,   19.65,   19.00,   19.00,      994
1476   ,¾§ÂE         ,20100206,   19.05,   19.20,   18.70,   18.95,      561
1476   ,¾§ÂE         ,20100208,   19.00,   19.15,   19.00,   19.10,      211
1476   ,¾§ÂE         ,20100209,   19.00,   19.65,   19.00,   19.50,      449
1476   ,¾§ÂE         ,20100210,   19.70,   19.90,   19.55,   19.65,      227
1476   ,¾§ÂE         ,20100222,   19.80,   20.05,   19.80,   19.90,      280
1476   ,¾§ÂE         ,20100223,   19.85,   20.00,   19.80,   19.90,       75
1476   ,¾§ÂE         ,20100224,   19.80,   20.00,   19.80,   20.00,      142
1476   ,¾§ÂE         ,20100225,   20.05,   20.05,   19.85,   19.85,      177
1476   ,¾§ÂE         ,20100226,   19.90,   19.95,   19.85,   19.85,      131
1476   ,¾§ÂE         ,20100301,   19.85,   20.25,   19.85,   20.10,      215
1476   ,¾§ÂE         ,20100302,   20.05,   20.20,   20.05,   20.15,      226
1476   ,¾§ÂE         ,20100303,   20.20,   20.30,   20.05,   20.20,      210
1476   ,¾§ÂE         ,20100304,   20.10,   20.50,   20.10,   20.35,      541
1476   ,¾§ÂE         ,20100305,   20.40,   20.85,   20.30,   20.60,      655
1476   ,¾§ÂE         ,20100308,   20.80,   20.90,   20.65,   20.70,      344
1476   ,¾§ÂE         ,20100309,   20.80,   20.85,   20.60,   20.70,      218
1476   ,¾§ÂE         ,20100310,   20.50,   20.80,   20.50,   20.65,      332
1476   ,¾§ÂE         ,20100311,   20.70,   20.70,   20.45,   20.45,      211
1476   ,¾§ÂE         ,20100312,   20.50,   20.50,   20.25,   20.30,      189
1476   ,¾§ÂE         ,20100315,   20.30,   20.40,   20.10,   20.15,      270
1476   ,¾§ÂE         ,20100316,   20.25,   20.45,   20.20,   20.40,      168
1476   ,¾§ÂE         ,20100317,   20.50,   20.80,   20.50,   20.75,      395
1476   ,¾§ÂE         ,20100318,   20.80,   20.85,   20.65,   20.80,      461
1476   ,¾§ÂE         ,20100319,   20.80,   20.90,   20.80,   20.85,      339
1476   ,¾§ÂE         ,20100322,   20.90,   21.00,   20.80,   20.90,      409
1476   ,¾§ÂE         ,20100323,   20.80,   20.80,   20.35,   20.40,      949
1476   ,¾§ÂE         ,20100324,   20.50,   20.50,   20.20,   20.25,      408
1476   ,¾§ÂE         ,20100325,   20.30,   20.30,   20.15,   20.20,      187
1476   ,¾§ÂE         ,20100326,   20.20,   20.30,   20.15,   20.25,      236
1476   ,¾§ÂE         ,20100329,   20.35,   20.50,   20.30,   20.35,      160
1476   ,¾§ÂE         ,20100330,   20.40,   20.45,   20.30,   20.30,      135
1476   ,¾§ÂE         ,20100331,   20.30,   20.35,   20.20,   20.30,      226
1476   ,¾§ÂE         ,20100401,   20.30,   20.45,   20.25,   20.25,      595
1476   ,¾§ÂE         ,20100402,   20.30,   20.35,   20.30,   20.30,      264
1476   ,¾§ÂE         ,20100406,   20.40,   20.65,   20.35,   20.55,      388
1476   ,¾§ÂE         ,20100407,   20.50,   20.65,   20.40,   20.50,      410
1476   ,¾§ÂE         ,20100408,   20.40,   20.50,   20.30,   20.40,      227
1476   ,¾§ÂE         ,20100409,   20.50,   20.85,   20.50,   20.80,      684
