촤③쩘폵,짼붙,�~ㅻㅹ,�}폥샘,넋값샘,넋쬍샘,━폥샘,┬ζ턲
1707   ,림드ㆍ       ,20100104,   49.80,   49.80,   48.00,   48.20,     3421
1707   ,림드ㆍ       ,20100105,   48.50,   48.80,   46.10,   46.75,     2756
1707   ,림드ㆍ       ,20100106,   46.75,   46.75,   45.50,   46.25,     2445
1707   ,림드ㆍ       ,20100107,   46.25,   47.35,   46.25,   46.65,     2914
1707   ,림드ㆍ       ,20100108,   46.70,   47.20,   44.25,   45.60,     2358
1707   ,림드ㆍ       ,20100111,   45.80,   46.55,   45.00,   46.00,     3849
1707   ,림드ㆍ       ,20100112,   47.00,   49.20,   46.50,   49.20,     6592
1707   ,림드ㆍ       ,20100113,   49.20,   50.40,   47.85,   48.05,    11683
1707   ,림드ㆍ       ,20100114,   48.10,   48.35,   47.00,   47.60,     3704
1707   ,림드ㆍ       ,20100115,   48.00,   48.80,   47.65,   48.00,     2486
1707   ,림드ㆍ       ,20100118,   47.80,   48.60,   47.50,   47.50,     2538
1707   ,림드ㆍ       ,20100119,   47.60,   48.20,   46.35,   46.60,     2727
1707   ,림드ㆍ       ,20100120,   47.00,   48.00,   46.90,   47.10,     4052
1707   ,림드ㆍ       ,20100121,   47.20,   47.70,   45.70,   46.05,     1809
1707   ,림드ㆍ       ,20100122,   45.00,   45.45,   44.00,   44.20,     2176
1707   ,림드ㆍ       ,20100125,   43.25,   43.90,   42.00,   42.30,     2363
1707   ,림드ㆍ       ,20100126,   42.80,   43.00,   39.35,   39.50,     3159
1707   ,림드ㆍ       ,20100127,   39.50,   40.15,   38.60,   39.40,     2054
1707   ,림드ㆍ       ,20100128,   40.70,   41.50,   40.00,   41.50,     1877
1707   ,림드ㆍ       ,20100129,   40.95,   41.00,   40.00,   40.50,     1301
1707   ,림드ㆍ       ,20100201,   40.50,   41.40,   40.20,   40.55,     1211
1707   ,림드ㆍ       ,20100202,   41.50,   41.50,   39.95,   40.00,     1408
1707   ,림드ㆍ       ,20100203,   40.80,   40.80,   38.00,   39.55,     1585
1707   ,림드ㆍ       ,20100204,   39.55,   40.00,   39.00,   39.55,      958
